"pt_lonlattext"
"POINT(-73.9247721 40.6770775)"
"POINT(-73.9247649 40.677173)"
"POINT(-73.9218159 40.677019)"
"POINT(-73.9093049 40.664097)"
"POINT(-73.9096989 40.665628)"
"POINT(-73.9107419 40.669685)"
"POINT(-73.9100899 40.667154)"
"POINT(-73.9113359 40.672077)"
"POINT(-73.9113229 40.672196)"
"POINT(-73.9112454 40.6730169)"
"POINT(-73.9112239 40.673152)"
"POINT(-73.9111484 40.6739907)"
"POINT(-73.9139171 40.6741353)"
"POINT(-73.9137038 40.6764108)"
"POINT(-73.9136894 40.6765529)"
"POINT(-73.9110019 40.675544)"
"POINT(-73.9109267 40.6762437)"
"POINT(-73.910916 40.6764065)"
"POINT(-73.9081669 40.6760883)"
"POINT(-73.9080244 40.6760766)"
"POINT(-73.9078591 40.6761321)"
"POINT(-73.9081564 40.6762288)"
"POINT(-73.908152 40.6762878)"
"POINT(-73.908015 40.6762815)"
"POINT(-73.9108139 40.677521)"
"POINT(-73.9108022 40.6782898)"
"POINT(-73.9112249 40.68024)"
"POINT(-73.9113739 40.68098)"
"POINT(-73.9077588 40.6781232)"
"POINT(-73.9059271 40.6780053)"
"POINT(-73.9063563 40.6793071)"
"POINT(-73.9054228 40.6800114)"
"POINT(-73.9043768 40.6750883)"
"POINT(-73.9043994 40.6751906)"
"POINT(-73.9044146 40.6752597)"
"POINT(-73.9008255 40.6764227)"
"POINT(-73.9008631 40.6766302)"
"POINT(-73.899994 40.6767808)"
"POINT(-73.8987579 40.6755158)"
"POINT(-73.8987763 40.6756011)"
"POINT(-73.8987922 40.6756773)"
"POINT(-73.8988028 40.6757243)"
"POINT(-73.8968272 40.6756714)"
"POINT(-73.8968709 40.6758153)"
"POINT(-73.8948855 40.6758427)"
"POINT(-73.8949321 40.6759984)"
"POINT(-73.9032878 40.6778426)"
"POINT(-73.9001335 40.6769394)"
"POINT(-73.8975595 40.6780412)"
"POINT(-73.8977303 40.6781518)"
"POINT(-73.8974187 40.6779493)"
"POINT(-73.897462 40.6781192)"
"POINT(-73.9115119 40.683505)"
"POINT(-73.9101319 40.684939)"
"POINT(-73.9086879 40.686417)"
"POINT(-73.907234 40.6878948)"
"POINT(-73.9057929 40.689365)"
"POINT(-73.9095499 40.691503)"
"POINT(-73.9081009 40.692976)"
"POINT(-73.9043419 40.690836)"
"POINT(-73.9027906 40.6924214)"
"POINT(-73.9035361 40.6928263)"
"POINT(-73.9004255 40.6933369)"
"POINT(-73.8930511 40.6760485)"
"POINT(-73.8930894 40.6762275)"
"POINT(-73.8921546 40.6762108)"
"POINT(-73.8921879 40.6763724)"
"POINT(-73.8903512 40.6765315)"
"POINT(-73.8903855 40.676675)"
"POINT(-73.8894638 40.6766904)"
"POINT(-73.8895002 40.6768467)"
"POINT(-73.8868375 40.6772732)"
"POINT(-73.8868749 40.6774192)"
"POINT(-73.9992009 40.693867)"
"POINT(-73.9970019 40.698518)"
"POINT(-73.9943746 40.7029142)"
"POINT(-73.9932445 40.7024429)"
"POINT(-73.9904194 40.6937345)"
"POINT(-73.9906622 40.6945581)"
"POINT(-73.9889632 40.6950339)"
"POINT(-73.9886629 40.6950173)"
"POINT(-73.988669 40.696097)"
"POINT(-73.9885538 40.696094)"
"POINT(-73.9912204 40.6963728)"
"POINT(-73.9912415 40.6964489)"
"POINT(-73.9911661 40.6961937)"
"POINT(-73.9913737 40.6970203)"
"POINT(-73.9914958 40.698291)"
"POINT(-73.9913313 40.6982875)"
"POINT(-73.9900681 40.6961401)"
"POINT(-73.9900279 40.6963263)"
"POINT(-73.9900171 40.6963954)"
"POINT(-73.9889124 40.6961076)"
"POINT(-73.988955 40.69631)"
"POINT(-73.9889553 40.6963609)"
"POINT(-73.9888548 40.6963061)"
"POINT(-73.9888531 40.6963588)"
"POINT(-73.9886815 40.6962995)"
"POINT(-73.988546 40.6962943)"
"POINT(-73.9871076 40.6960382)"
"POINT(-73.9833801 40.6935923)"
"POINT(-73.9834335 40.693721)"
"POINT(-73.9831895 40.6935801)"
"POINT(-73.9832421 40.6936866)"
"POINT(-73.9838017 40.6948362)"
"POINT(-73.9843464 40.6959338)"
"POINT(-73.9845648 40.6959405)"
"POINT(-73.9832002 40.6958997)"
"POINT(-73.9831974 40.6960737)"
"POINT(-73.9824064 40.6958747)"
"POINT(-73.9870987 40.6962386)"
"POINT(-73.9870219 40.697682)"
"POINT(-73.9868716 40.6987219)"
"POINT(-73.9868006 40.6987026)"
"POINT(-73.9854144 40.6976331)"
"POINT(-73.9853128 40.6976299)"
"POINT(-73.9851703 40.6976301)"
"POINT(-73.9846746 40.69613)"
"POINT(-73.9844508 40.6961273)"
"POINT(-73.9830936 40.6975431)"
"POINT(-73.9830388 40.6983884)"
"POINT(-73.9911149 40.6998715)"
"POINT(-73.9909749 40.6998315)"
"POINT(-73.9909635 40.7008023)"
"POINT(-73.9877746 40.6999918)"
"POINT(-73.9877733 40.7000904)"
"POINT(-73.9877666 40.7002236)"
"POINT(-73.9897365 40.7007527)"
"POINT(-73.9886828 40.7007049)"
"POINT(-73.987734 40.70067)"
"POINT(-73.9925815 40.7021313)"
"POINT(-73.992179 40.7018069)"
"POINT(-73.9868694 40.6999613)"
"POINT(-73.9869163 40.7000975)"
"POINT(-73.9869512 40.7002063)"
"POINT(-73.9863693 40.6999353)"
"POINT(-73.9862768 40.6999953)"
"POINT(-73.9862191 40.6999292)"
"POINT(-73.9863986 40.7002277)"
"POINT(-73.9867174 40.7015304)"
"POINT(-73.9847609 40.701439)"
"POINT(-73.9829494 40.6997312)"
"POINT(-73.9829458 40.6998478)"
"POINT(-73.9828499 40.7013675)"
"POINT(-73.9866752 40.7024233)"
"POINT(-74.0031771 40.7062072)"
"POINT(-74.0034468 40.7080775)"
"POINT(-74.0025029 40.708846)"
"POINT(-74.0016569 40.7094916)"
"POINT(-74.001548 40.7096039)"
"POINT(-74.0001126 40.707892)"
"POINT(-73.996225 40.7091819)"
"POINT(-73.9959246 40.7092234)"
"POINT(-73.994026 40.7095139)"
"POINT(-74.0036239 40.710952)"
"POINT(-74.0012105 40.7100562)"
"POINT(-74.0011122 40.7101928)"
"POINT(-74.0004595 40.7110335)"
"POINT(-73.9997022 40.7117948)"
"POINT(-73.9986793 40.7118881)"
"POINT(-74.0036255 40.7136499)"
"POINT(-74.0034171 40.7141186)"
"POINT(-74.0030555 40.7139712)"
"POINT(-74.002616 40.7142983)"
"POINT(-74.0021356 40.7151767)"
"POINT(-73.9985203 40.7134431)"
"POINT(-73.998681 40.7135191)"
"POINT(-74.000454 40.7143698)"
"POINT(-73.9965065 40.7102032)"
"POINT(-73.9977746 40.7119727)"
"POINT(-73.9967819 40.711364)"
"POINT(-73.9969404 40.7120926)"
"POINT(-73.9941379 40.710557)"
"POINT(-73.9943609 40.712308)"
"POINT(-73.9942629 40.711593)"
"POINT(-73.9980742 40.7137811)"
"POINT(-73.9979809 40.7136728)"
"POINT(-73.9972983 40.7134688)"
"POINT(-73.9975943 40.7140611)"
"POINT(-73.9974921 40.7139962)"
"POINT(-73.9968602 40.7150651)"
"POINT(-73.9967565 40.7150274)"
"POINT(-73.9944589 40.713021)"
"POINT(-73.9945592 40.7136968)"
"POINT(-73.9939451 40.7137475)"
"POINT(-73.9948483 40.7142419)"
"POINT(-73.9941374 40.7142818)"
"POINT(-73.9939481 40.714294)"
"POINT(-73.993045 40.7143569)"
"POINT(-73.9919573 40.7098057)"
"POINT(-73.9917769 40.7098319)"
"POINT(-73.992197 40.7108885)"
"POINT(-73.9919798 40.710923)"
"POINT(-73.9925659 40.712453)"
"POINT(-73.9922711 40.7124675)"
"POINT(-73.9926691 40.7131741)"
"POINT(-73.9923727 40.7131973)"
"POINT(-73.9927506 40.7138471)"
"POINT(-73.9924949 40.7138684)"
"POINT(-73.9928196 40.7143726)"
"POINT(-73.9925836 40.714389)"
"POINT(-73.9926337 40.7151365)"
"POINT(-73.9923741 40.7150548)"
"POINT(-73.9902008 40.714051)"
"POINT(-73.9902457 40.7144101)"
"POINT(-73.9900157 40.7126536)"
"POINT(-73.9886963 40.7141864)"
"POINT(-73.9847107 40.7107224)"
"POINT(-73.984655 40.7104204)"
"POINT(-73.9869542 40.7129121)"
"POINT(-73.9850559 40.7130715)"
"POINT(-73.985215 40.7137854)"
"POINT(-73.9850481 40.7137999)"
"POINT(-73.9871794 40.7143146)"
"POINT(-73.9847318 40.7145182)"
"POINT(-73.9838847 40.7131986)"
"POINT(-73.9820458 40.7134151)"
"POINT(-73.9842476 40.7152208)"
"POINT(-73.9833173 40.7149509)"
"POINT(-73.9824259 40.7146922)"
"POINT(-73.9778201 40.6934517)"
"POINT(-73.9803344 40.6961555)"
"POINT(-73.9803902 40.6964835)"
"POINT(-73.9805167 40.6974407)"
"POINT(-73.9805618 40.6982532)"
"POINT(-73.9767936 40.6981006)"
"POINT(-73.976383 40.6960489)"
"POINT(-73.9742667 40.6959594)"
"POINT(-73.973395 40.695931)"
"POINT(-73.9724052 40.6958944)"
"POINT(-73.9714075 40.6958557)"
"POINT(-73.976437 40.6963387)"
"POINT(-73.9744441 40.6962594)"
"POINT(-73.9748036 40.6980211)"
"POINT(-73.9738017 40.6979763)"
"POINT(-73.973453 40.6962217)"
"POINT(-73.9724659 40.6961801)"
"POINT(-73.9714574 40.6961414)"
"POINT(-73.9804643 40.6996654)"
"POINT(-73.9804643 40.6997091)"
"POINT(-73.9804612 40.6997598)"
"POINT(-73.9703721 40.6958171)"
"POINT(-73.9704275 40.6961018)"
"POINT(-73.9693475 40.6957846)"
"POINT(-73.9694015 40.6960641)"
"POINT(-73.9659101 40.6934506)"
"POINT(-73.9673573 40.6957093)"
"POINT(-73.9674113 40.6959889)"
"POINT(-73.9654604 40.6959233)"
"POINT(-73.9707793 40.6978553)"
"POINT(-73.9697266 40.6978132)"
"POINT(-73.9677269 40.697717)"
"POINT(-73.9628389 40.698039)"
"POINT(-73.9615859 40.696207)"
"POINT(-73.9618989 40.698188)"
"POINT(-73.9601969 40.698462)"
"POINT(-73.9621789 40.700221)"
"POINT(-73.9610319 40.699485)"
"POINT(-73.9604999 40.700792)"
"POINT(-73.9608619 40.70113)"
"POINT(-73.9614519 40.701663)"
"POINT(-73.9603409 40.703437)"
"POINT(-73.9605909 40.703658)"
"POINT(-73.9808529 40.713555)"
"POINT(-73.9794151 40.713808)"
"POINT(-73.9816475 40.7144617)"
"POINT(-73.9809229 40.7142645)"
"POINT(-73.9799619 40.713973)"
"POINT(-73.9775859 40.71325)"
"POINT(-73.9608444 40.709169)"
"POINT(-73.9607423 40.7093927)"
"POINT(-73.9638749 40.710297)"
"POINT(-73.9638389 40.710477)"
"POINT(-73.9622919 40.709921)"
"POINT(-73.9604359 40.715306)"
"POINT(-74.0030272 40.7155919)"
"POINT(-74.0025579 40.716181)"
"POINT(-74.0016906 40.7157471)"
"POINT(-74.0012283 40.7163677)"
"POINT(-74.0035329 40.717449)"
"POINT(-74.0030295 40.7180267)"
"POINT(-74.0020779 40.716731)"
"POINT(-74.0015647 40.7173003)"
"POINT(-73.9993215 40.715917)"
"POINT(-73.9984928 40.7156298)"
"POINT(-74.0008179 40.71693)"
"POINT(-74.0009879 40.717932)"
"POINT(-74.0002739 40.717619)"
"POINT(-73.9999559 40.718017)"
"POINT(-73.998586 40.7171185)"
"POINT(-73.9993129 40.71755)"
"POINT(-74.0025284 40.7186389)"
"POINT(-74.0018768 40.7194058)"
"POINT(-74.0025888 40.719916)"
"POINT(-74.0032495 40.7203895)"
"POINT(-74.0034833 40.720557)"
"POINT(-74.0014249 40.719938)"
"POINT(-74.0005319 40.71843)"
"POINT(-73.9998409 40.719193)"
"POINT(-73.9994229 40.71868)"
"POINT(-73.9987529 40.718445)"
"POINT(-73.9985239 40.719786)"
"POINT(-73.9990609 40.720044)"
"POINT(-73.9969812 40.7165615)"
"POINT(-73.9960787 40.7162442)"
"POINT(-73.9958254 40.7166489)"
"POINT(-73.997753 40.7168256)"
"POINT(-73.9971079 40.71787)"
"POINT(-73.9963269 40.717596)"
"POINT(-73.9954451 40.7160039)"
"POINT(-73.9950293 40.7158824)"
"POINT(-73.9948694 40.7158153)"
"POINT(-73.9942712 40.7156085)"
"POINT(-73.9933999 40.715355)"
"POINT(-73.9954399 40.7172937)"
"POINT(-73.9944557 40.7169745)"
"POINT(-73.9930949 40.717922)"
"POINT(-73.9979378 40.7181638)"
"POINT(-73.9973029 40.719324)"
"POINT(-73.9964742 40.7190526)"
"POINT(-73.9956862 40.718771)"
"POINT(-73.9980646 40.7195804)"
"POINT(-73.9968211 40.7204864)"
"POINT(-73.9960311 40.7201656)"
"POINT(-73.9948123 40.7184578)"
"POINT(-73.9938241 40.7181594)"
"POINT(-73.9933599 40.71907)"
"POINT(-73.9952599 40.719867)"
"POINT(-73.9943904 40.7194567)"
"POINT(-73.9949689 40.720627)"
"POINT(-73.9940019 40.720262)"
"POINT(-73.9941172 40.7203456)"
"POINT(-73.993952 40.7203419)"
"POINT(-74.0029709 40.721995)"
"POINT(-74.0014469 40.721252)"
"POINT(-74.0022079 40.721621)"
"POINT(-74.0037679 40.722384)"
"POINT(-74.0038299 40.723449)"
"POINT(-74.0029819 40.723308)"
"POINT(-74.0014029 40.722556)"
"POINT(-74.0021739 40.72293)"
"POINT(-74.0006609 40.72084)"
"POINT(-74.0006569 40.722183)"
"POINT(-73.9998529 40.721792)"
"POINT(-73.9990309 40.721421)"
"POINT(-73.9996089 40.723423)"
"POINT(-73.9988119 40.723021)"
"POINT(-74.0036349 40.723682)"
"POINT(-74.0026189 40.72488)"
"POINT(-74.0019329 40.724552)"
"POINT(-74.0033759 40.725252)"
"POINT(-74.0037299 40.72625)"
"POINT(-74.0015803 40.7261286)"
"POINT(-74.0011269 40.724166)"
"POINT(-74.0003669 40.723795)"
"POINT(-73.9985849 40.724632)"
"POINT(-74.0008979 40.725773)"
"POINT(-73.9993449 40.725008)"
"POINT(-73.9981959 40.721063)"
"POINT(-73.9976549 40.720836)"
"POINT(-73.9973989 40.721449)"
"POINT(-73.9977853 40.7215815)"
"POINT(-73.9965749 40.721173)"
"POINT(-73.9957519 40.720893)"
"POINT(-73.9962679 40.721952)"
"POINT(-73.9979799 40.722663)"
"POINT(-73.9971274 40.7223037)"
"POINT(-73.9957074 40.7233679)"
"POINT(-73.9947059 40.721308)"
"POINT(-73.9954639 40.721619)"
"POINT(-73.9938613 40.7209741)"
"POINT(-73.9937176 40.7209376)"
"POINT(-73.9935859 40.72165)"
"POINT(-73.9934648 40.7216124)"
"POINT(-73.9949089 40.723036)"
"POINT(-73.9941529 40.722723)"
"POINT(-73.9933218 40.7223842)"
"POINT(-73.9932042 40.7223416)"
"POINT(-73.9977849 40.724235)"
"POINT(-73.9964759 40.723686)"
"POINT(-73.998403 40.7261225)"
"POINT(-73.998303 40.7262407)"
"POINT(-73.9976632 40.725761)"
"POINT(-73.9975705 40.7258746)"
"POINT(-73.9967971 40.7253748)"
"POINT(-73.9967161 40.725502)"
"POINT(-73.9959026 40.7251608)"
"POINT(-73.995812 40.7252743)"
"POINT(-73.9949457 40.7248795)"
"POINT(-73.9942093 40.7246223)"
"POINT(-73.9941429 40.7247628)"
"POINT(-73.9934974 40.7243769)"
"POINT(-73.993437 40.7245054)"
"POINT(-73.9953799 40.7250317)"
"POINT(-73.9952849 40.7251507)"
"POINT(-73.9948705 40.7250176)"
"POINT(-73.9920139 40.716235)"
"POINT(-73.9917959 40.71617)"
"POINT(-73.992222 40.7176586)"
"POINT(-73.9911759 40.717343)"
"POINT(-73.9907056 40.7172018)"
"POINT(-73.9914219 40.717418)"
"POINT(-73.9897539 40.715553)"
"POINT(-73.9883838 40.7164594)"
"POINT(-73.9875304 40.7162022)"
"POINT(-73.9899504 40.7169719)"
"POINT(-73.9891495 40.7167141)"
"POINT(-73.9886709 40.71765)"
"POINT(-73.9878789 40.717409)"
"POINT(-73.9926209 40.718851)"
"POINT(-73.9909739 40.718348)"
"POINT(-73.9907159 40.718269)"
"POINT(-73.9913162 40.71943)"
"POINT(-73.9905492 40.7191936)"
"POINT(-73.9902839 40.7191088)"
"POINT(-73.9902047 40.7192589)"
"POINT(-73.990472 40.7193451)"
"POINT(-73.9929056 40.7199017)"
"POINT(-73.9928368 40.7200558)"
"POINT(-73.9921757 40.7196783)"
"POINT(-73.9921015 40.7198246)"
"POINT(-73.9912435 40.7195723)"
"POINT(-73.9890602 40.7187095)"
"POINT(-73.9898116 40.7189506)"
"POINT(-73.9897282 40.7191093)"
"POINT(-73.9889818 40.7188714)"
"POINT(-73.98825 40.7184613)"
"POINT(-73.9881682 40.7186193)"
"POINT(-73.9874601 40.7182205)"
"POINT(-73.9896204 40.720461)"
"POINT(-73.989857 40.7205327)"
"POINT(-73.987543 40.7198309)"
"POINT(-73.9867378 40.7159633)"
"POINT(-73.985111 40.7154632)"
"POINT(-73.9866359 40.7179347)"
"POINT(-73.9858324 40.717623)"
"POINT(-73.9857348 40.7178211)"
"POINT(-73.9856499 40.717971)"
"POINT(-73.9842426 40.716953)"
"POINT(-73.9840023 40.7174162)"
"POINT(-73.987377 40.7183875)"
"POINT(-73.9865383 40.7181209)"
"POINT(-73.9859138 40.7193368)"
"POINT(-73.9850755 40.7190825)"
"POINT(-73.9867534 40.7195914)"
"POINT(-73.9861599 40.7207426)"
"POINT(-73.9853189 40.7204887)"
"POINT(-73.983398 40.7185738)"
"POINT(-73.982503 40.7183028)"
"POINT(-73.9844719 40.720233)"
"POINT(-73.9827959 40.7197271)"
"POINT(-73.9922369 40.721248)"
"POINT(-73.9909139 40.722181)"
"POINT(-73.9916433 40.7224121)"
"POINT(-73.9903053 40.7233779)"
"POINT(-73.9902415 40.7235019)"
"POINT(-73.9892299 40.721677)"
"POINT(-73.988998 40.7215997)"
"POINT(-73.9877696 40.7212285)"
"POINT(-73.9885782 40.7228497)"
"POINT(-73.9879093 40.7226423)"
"POINT(-73.9878449 40.7227676)"
"POINT(-73.9887917 40.7229078)"
"POINT(-73.9887308 40.7230355)"
"POINT(-73.9885487 40.7229823)"
"POINT(-73.9884509 40.723277)"
"POINT(-73.9926926 40.7240979)"
"POINT(-73.9926443 40.7242313)"
"POINT(-73.9925623 40.7240528)"
"POINT(-73.9925099 40.724192)"
"POINT(-73.992392 40.7249145)"
"POINT(-73.9922644 40.7248794)"
"POINT(-73.9910567 40.7235993)"
"POINT(-73.9909944 40.7237253)"
"POINT(-73.9908276 40.7242892)"
"POINT(-73.9903442 40.724929)"
"POINT(-73.9922885 40.7252502)"
"POINT(-73.9921427 40.7252143)"
"POINT(-73.9919973 40.7256194)"
"POINT(-73.9921418 40.7256763)"
"POINT(-73.9879679 40.723942)"
"POINT(-73.9875019 40.724584)"
"POINT(-73.9898699 40.725582)"
"POINT(-73.9894289 40.726188)"
"POINT(-73.9869508 40.7209813)"
"POINT(-73.9863351 40.7221619)"
"POINT(-73.9855299 40.7219165)"
"POINT(-73.9854681 40.7220324)"
"POINT(-73.9847107 40.7216662)"
"POINT(-73.9870974 40.7225403)"
"POINT(-73.9862636 40.7222803)"
"POINT(-73.9857519 40.723009)"
"POINT(-73.9838689 40.7214199)"
"POINT(-73.9846442 40.7217949)"
"POINT(-73.9837883 40.7215498)"
"POINT(-73.9834439 40.722019)"
"POINT(-73.9830337 40.7211522)"
"POINT(-73.9829639 40.722671)"
"POINT(-73.9825239 40.723278)"
"POINT(-73.9852859 40.723649)"
"POINT(-73.9848369 40.724269)"
"POINT(-73.9870529 40.725203)"
"POINT(-73.9866229 40.725796)"
"POINT(-73.9844029 40.724863)"
"POINT(-73.9820829 40.723882)"
"POINT(-73.9839579 40.725473)"
"POINT(-73.9835349 40.726053)"
"POINT(-74.0034449 40.726958)"
"POINT(-74.0031549 40.727664)"
"POINT(-74.0023499 40.726496)"
"POINT(-74.0014474 40.7276134)"
"POINT(-74.0028881 40.7282398)"
"POINT(-74.0028315 40.7283615)"
"POINT(-74.0030986 40.7283924)"
"POINT(-74.0027911 40.7284512)"
"POINT(-74.002194 40.7279821)"
"POINT(-74.0020997 40.7281031)"
"POINT(-74.0013493 40.7277355)"
"POINT(-73.9999616 40.7268923)"
"POINT(-74.0006671 40.7272468)"
"POINT(-74.0005767 40.7273569)"
"POINT(-73.9998647 40.7270081)"
"POINT(-74.0004307 40.7288005)"
"POINT(-73.9989541 40.7280695)"
"POINT(-73.9996722 40.7284251)"
"POINT(-74.0021985 40.7296932)"
"POINT(-74.0024761 40.7303374)"
"POINT(-74.0016839 40.730581)"
"POINT(-74.0014129 40.731065)"
"POINT(-74.0001219 40.7304319)"
"POINT(-73.9986049 40.729685)"
"POINT(-73.9993669 40.730058)"
"POINT(-74.0009539 40.731706)"
"POINT(-73.9996038 40.7310432)"
"POINT(-73.9952699 40.727211)"
"POINT(-73.9941289 40.72664)"
"POINT(-73.9936399 40.727289)"
"POINT(-73.9955929 40.728194)"
"POINT(-73.9947584 40.7278217)"
"POINT(-73.9931469 40.727867)"
"POINT(-73.9942519 40.728412)"
"POINT(-73.9937469 40.729008)"
"POINT(-73.9978859 40.72931)"
"POINT(-73.9973575 40.7299438)"
"POINT(-73.996569 40.7295629)"
"POINT(-73.9969759 40.7314143)"
"POINT(-73.9932619 40.72958)"
"POINT(-73.9955714 40.7307232)"
"POINT(-73.994786 40.7316)"
"POINT(-74.0035797 40.7322858)"
"POINT(-74.0030501 40.7332211)"
"POINT(-74.0025719 40.733372)"
"POINT(-74.00282 40.7336146)"
"POINT(-74.0029699 40.734252)"
"POINT(-74.0023949 40.7343413)"
"POINT(-74.0005109 40.732315)"
"POINT(-74.0000659 40.732929)"
"POINT(-73.9986119 40.732215)"
"POINT(-73.9995233 40.7336634)"
"POINT(-73.9996529 40.73407)"
"POINT(-73.9991879 40.734134)"
"POINT(-74.0019693 40.7350691)"
"POINT(-74.0016966 40.7355352)"
"POINT(-74.0017616 40.7357632)"
"POINT(-74.0015451 40.7357944)"
"POINT(-74.0035269 40.736178)"
"POINT(-73.9999729 40.734688)"
"POINT(-74.0003559 40.735307)"
"POINT(-73.9987139 40.734784)"
"POINT(-74.0010949 40.736564)"
"POINT(-74.0006277 40.7372222)"
"POINT(-73.9963509 40.732255)"
"POINT(-73.9959139 40.732847)"
"POINT(-73.9942969 40.732165)"
"POINT(-73.9938139 40.732731)"
"POINT(-73.9954889 40.733437)"
"POINT(-73.9950499 40.734034)"
"POINT(-73.9933219 40.733304)"
"POINT(-73.9982739 40.735391)"
"POINT(-73.9978049 40.736032)"
"POINT(-73.9973409 40.736668)"
"POINT(-73.9945849 40.734672)"
"POINT(-73.9941179 40.735313)"
"POINT(-73.9936183 40.7359997)"
"POINT(-73.9931199 40.736691)"
"POINT(-73.9917228 40.7263629)"
"POINT(-73.991856 40.726419)"
"POINT(-73.9916032 40.7271144)"
"POINT(-73.9914719 40.7270585)"
"POINT(-73.9914337 40.7277438)"
"POINT(-73.9913495 40.7277118)"
"POINT(-73.991219 40.7277093)"
"POINT(-73.9910279 40.7281581)"
"POINT(-73.9903443 40.72894)"
"POINT(-73.9889839 40.726792)"
"POINT(-73.9885389 40.727402)"
"POINT(-73.9881189 40.727986)"
"POINT(-73.9876719 40.728595)"
"POINT(-73.9928409 40.730079)"
"POINT(-73.9914388 40.7298662)"
"POINT(-73.9910687 40.730045)"
"POINT(-73.9908217 40.7297748)"
"POINT(-73.9906942 40.7298885)"
"POINT(-73.9923996 40.7306011)"
"POINT(-73.9919209 40.731166)"
"POINT(-73.9906459 40.730615)"
"POINT(-73.9905028 40.730557)"
"POINT(-73.9914599 40.731738)"
"POINT(-73.9903508 40.7312807)"
"POINT(-73.9899019 40.729558)"
"POINT(-73.9894828 40.7301334)"
"POINT(-73.9890528 40.7307238)"
"POINT(-73.9886145 40.7313257)"
"POINT(-73.9861759 40.726409)"
"POINT(-73.9857529 40.726988)"
"POINT(-73.9853069 40.727599)"
"POINT(-73.9848749 40.728194)"
"POINT(-73.9830899 40.726666)"
"POINT(-73.9826569 40.727261)"
"POINT(-73.9844395 40.7287826)"
"POINT(-73.9822279 40.727846)"
"POINT(-73.9872389 40.729192)"
"POINT(-73.9868119 40.729779)"
"POINT(-73.9863741 40.7303818)"
"POINT(-73.9859089 40.731019)"
"POINT(-73.9854439 40.731658)"
"POINT(-73.9839986 40.729373)"
"POINT(-73.9835359 40.7300191)"
"POINT(-73.9830643 40.7306534)"
"POINT(-73.9825569 40.7313565)"
"POINT(-73.9912809 40.732446)"
"POINT(-73.9902031 40.7319645)"
"POINT(-73.9927919 40.733922)"
"POINT(-73.9922659 40.734532)"
"POINT(-73.9911139 40.733214)"
"POINT(-73.9909449 40.733978)"
"POINT(-73.9900269 40.732756)"
"POINT(-73.9881497 40.7319637)"
"POINT(-73.9876832 40.7326041)"
"POINT(-73.9898679 40.733528)"
"POINT(-73.9898981 40.7344556)"
"POINT(-73.9887789 40.733966)"
"POINT(-73.9916919 40.735204)"
"POINT(-73.9907523 40.734816)"
"POINT(-73.991206 40.7358769)"
"POINT(-73.9907375 40.7365258)"
"POINT(-73.9903426 40.7371143)"
"POINT(-73.9898331 40.7353127)"
"POINT(-73.9899796 40.7353747)"
"POINT(-73.9882866 40.7346581)"
"POINT(-73.9878169 40.735292)"
"POINT(-73.9895011 40.7360046)"
"POINT(-73.9893604 40.7359443)"
"POINT(-73.9890625 40.7365773)"
"POINT(-73.9889319 40.7365224)"
"POINT(-73.9885057 40.7371179)"
"POINT(-73.9886194 40.7371659)"
"POINT(-73.9849409 40.732347)"
"POINT(-73.9871817 40.7332927)"
"POINT(-73.986682 40.7339789)"
"POINT(-73.9844409 40.733033)"
"POINT(-73.9820609 40.7320287)"
"POINT(-73.9839817 40.7336653)"
"POINT(-73.9835473 40.7342632)"
"POINT(-73.9862155 40.7346191)"
"POINT(-73.9873896 40.7358753)"
"POINT(-73.9857895 40.735204)"
"POINT(-73.9853619 40.7357911)"
"POINT(-73.9869604 40.7364657)"
"POINT(-73.9865353 40.7370494)"
"POINT(-73.9849361 40.7363755)"
"POINT(-73.9831221 40.7348458)"
"POINT(-73.9826948 40.7354311)"
"POINT(-73.9845087 40.7369623)"
"POINT(-73.9822669 40.73602)"
"POINT(-73.9805735 40.716454)"
"POINT(-73.9800018 40.717543)"
"POINT(-73.98192 40.7194627)"
"POINT(-73.9813157 40.720654)"
"POINT(-73.981241 40.720782)"
"POINT(-73.977247 40.7192506)"
"POINT(-73.9787975 40.7198863)"
"POINT(-73.9787166 40.7200067)"
"POINT(-73.9763913 40.7190791)"
"POINT(-73.976341 40.7191972)"
"POINT(-73.9810813 40.7210227)"
"POINT(-73.9806075 40.7216783)"
"POINT(-73.980156 40.722281)"
"POINT(-73.9797154 40.7228841)"
"POINT(-73.9792658 40.7234973)"
"POINT(-73.9777879 40.721277)"
"POINT(-73.9768929 40.722498)"
"POINT(-73.9816369 40.724494)"
"POINT(-73.9812109 40.725073)"
"POINT(-73.9807679 40.725685)"
"POINT(-73.9803329 40.726281)"
"POINT(-73.9788468 40.7240764)"
"POINT(-73.9784068 40.7246931)"
"POINT(-73.9779747 40.7252896)"
"POINT(-73.9775363 40.7258829)"
"POINT(-73.9760299 40.723689)"
"POINT(-73.9751639 40.724877)"
"POINT(-73.9747229 40.7254841)"
"POINT(-73.9742689 40.726109)"
"POINT(-73.9647269 40.71752)"
"POINT(-73.9633909 40.716765)"
"POINT(-73.9619119 40.71593)"
"POINT(-73.9610279 40.718968)"
"POINT(-73.9799059 40.726866)"
"POINT(-73.9794689 40.727468)"
"POINT(-73.9817899 40.728446)"
"POINT(-73.9770982 40.7264706)"
"POINT(-73.9766294 40.7271037)"
"POINT(-73.9789979 40.728106)"
"POINT(-73.9785359 40.728746)"
"POINT(-73.9813249 40.729086)"
